GameNo,Tm,D/N,Attendance,API DATE Format
86,CHC,D,41294,2017-07-07
87,CHC,N,41865,2017-07-08
88,CHC,D,41604,2017-07-09
95,CHC,D,42186,2017-07-21
96,CHC,D,41969,2017-07-22
97,CHC,N,41582,2017-07-23
98,CHC,D,40849,2017-07-24
99,CHC,D,40717,2017-07-25
105,CHC,N,40709,2017-08-01
106,CHC,N,41321,2017-08-02
107,CHC,D,39525,2017-08-03
108,CHC,D,41396,2017-08-04
109,CHC,D,41857,2017-08-05
110,CHC,D,41047,2017-08-06
117,CHC,N,40263,2017-08-14
118,CHC,N,36698,2017-08-15
119,CHC,N,37021,2017-08-16
120,CHC,D,38675,2017-08-17
121,CHC,D,41814,2017-08-18
122,CHC,D,41558,2017-08-19
123,CHC,D,41459,2017-08-20
130,CHC,N,38453,2017-08-28
131,CHC,N,37370,2017-08-29
132,CHC,N,36628,2017-08-30
133,CHC,N,38031,2017-08-31
134,CHC,D,37280,2017-09-01
135,CHC,D,41329,2017-09-02
136,CHC,D,42145,2017-09-03
141,CHC,N,41020,2017-09-08
142,CHC,D,41167,2017-09-09
143,CHC,D,40113,2017-09-10
144,CHC,N,37834,2017-09-12
145,CHC,N,36008,2017-09-13
146,CHC,N,37867,2017-09-14
147,CHC,D,38464,2017-09-15
148,CHC,D,40959,2017-09-16
149,CHC,D,37242,2017-09-17
160,CHC,D,36258,2017-09-29
161,CHC,D,41493,2017-09-30
162,CHC,D,40971,2017-10-01
7,BOS,D,36134,2018-04-05
8,BOS,D,31821,2018-04-07
9,BOS,D,31979,2018-04-08
10,BOS,N,32357,2018-04-10
11,BOS,N,32400,2018-04-11
12,BOS,N,36341,2018-04-12
13,BOS,N,32610,2018-04-13
14,BOS,D,33584,2018-04-14
15,BOS,D,32489,2018-04-15
25,BOS,N,32620,2018-04-27
26,BOS,D,35795,2018-04-28
27,BOS,D,32888,2018-04-29
28,BOS,N,31314,2018-04-30
29,BOS,N,34466,2018-05-01
30,BOS,D,32267,2018-05-02
41,BOS,N,35249,2018-05-14
42,BOS,N,34906,2018-05-15
43,BOS,N,34947,2018-05-16
